Bus_no,From,To,Bus_Name,Bus_Type,Bus_Dept,Bus_Arrival,Duration,Rating,Price,Seats
431,Goa,Kolhapur Maharashtra,Amrutyog Travels,Non AC Sleeper,20:30:00,01:00:00,04h 30m,3.6,5000,36
432,Goa,Kolhapur Maharashtra,Laxmi Queen Asta,AC Sleeper,20:30:00,02:00:00,05h 30m,3.6,900,23
433,Goa,Kolhapur Maharashtra,IntrCity SmartBus,AC Seater/Sleeper,20:30:00,02:35:00,06h 05m,3.6,783,9
434,Goa,Kolhapur Maharashtra,Giroba Travels (Rajmudra),AC Sleeper,20:45:00,02:00:00,05h 15m,3.6,899,23
435,Goa,Kolhapur Maharashtra,IntrCity SmartBus,AC Sleeper,20:50:00,03:00:00,06h 10m,3.6,900,13
436,Goa,Kolhapur Maharashtra,Zingbus Plus,AC Sleeper,20:50:00,02:25:00,05h 35m,3.6,900,16
437,Goa,Kolhapur Maharashtra,Prasanna - Purple Bus,AC Sleeper,21:00:00,04:00:00,07h 00m,3.6,905,25
438,Goa,Kolhapur Maharashtra,PVS Tours and Travels,AC Sleeper,21:00:00,03:45:00,06h 45m,3.6,2950,36
439,Goa,Kolhapur Maharashtra,Indumati Travels,AC Sleeper,21:00:00,02:45:00,05h 45m,3.6,760,26
440,Goa,Kolhapur Maharashtra,IntrCity SmartBus,AC Sleeper,21:00:00,02:40:00,05h 40m,3.6,1000,12
441,Goa,Kolhapur Maharashtra,Atmaram Travels(KVT Narmada Red),AC Sleeper,21:16:00,03:46:00,06h 30m,3.6,900,23
442,Goa,Kolhapur Maharashtra,IntrCity SmartBus,AC Sleeper,21:30:00,03:20:00,05h 50m,3.6,900,9
443,Goa,Kolhapur Maharashtra,Prasanna - Purple Bus,AC Sleeper,22:00:00,03:30:00,05h 30m,3.6,999,22
444,Goa,Kolhapur Maharashtra,Prasanna - Purple Bus,AC Sleeper,22:15:00,03:15:00,05h 00m,3.6,999,22
445,Goa,Kolhapur Maharashtra,PSR Travels (Vaibhav),AC Sleeper,22:30:00,03:30:00,05h 00m,3.6,1050,26
446,Goa,Kolhapur Maharashtra,Atmaram Travels (Vaibhav),AC Sleeper,22:31:00,05:01:00,06h 30m,3.6,1050,25
447,Goa,Kolhapur Maharashtra,Atmaram Travels (Dolphin),AC Sleeper,15:00:00,21:44:00,06h 44m,3.6,1000,31
448,Goa,Kolhapur Maharashtra,Manish Patil Travels,AC Sleeper,15:30:00,01:30:00,10h 00m,3.6,1000,29
449,Goa,Kolhapur Maharashtra,Kokan Holidays - Muskan,Non AC Sleeper,16:00:00,23:08:00,07h 08m,3.6,800,32
450,Goa,Kolhapur Maharashtra,Atmaram Travels (Dolphin),AC Sleeper,16:30:00,22:45:00,06h 15m,3.6,1050,16
451,Goa,Kolhapur Maharashtra,Atmaram Gobus,AC Sleeper,18:00:00,01:00:00,07h 00m,3.6,5000,24
452,Goa,Kolhapur Maharashtra,Atmaram Travels (Dolphin),AC Sleeper,18:30:00,00:45:00,06h 15m,3.6,1000,28
453,Goa,Kolhapur Maharashtra,Manish Roshan Travels,AC Sleeper,19:00:00,03:30:00,08h 30m,3.6,1000,29
454,Goa,Kolhapur Maharashtra,VRL Travels,AC Sleeper,19:30:00,03:00:00,07h 30m,3.6,1000,20
455,Goa,Kolhapur Maharashtra,Laxmi Empress Stellar,Non AC Sleeper,19:45:00,01:45:00,06h 00m,3.6,799,24
456,Goa,Kolhapur Maharashtra,Manish Sharma Travels,AC Sleeper,20:00:00,02:00:00,06h 00m,3.6,1000,26
457,Goa,Pandharpur,Kadamba Transport Corporation Limited (KTCL) - 60996,Non AC Seater,19:00:00,07:00:00,12h 00m,2.6,735,19
458,Goa,Solapur,Kadamba Transport Corporation Limited (KTCL) - 60996,Non AC Seater,19:00:00,08:30:00,13h 30m,2.9,850,19
459,Goa,Solapur,Humsafar Travels,AC Sleeper,19:00:00,04:30:00,09h 30m,2.9,1283,17
460,Goa,Solapur,IntrCity SmartBus,AC Sleeper,16:40:00,03:30:00,10h 50m,2.9,899,9
461,Goa,Solapur,IntrCity SmartBus,AC Sleeper,17:40:00,03:55:00,10h 15m,2.9,1005,27
462,Goa,Solapur,IntrCity SmartBus,AC Sleeper,15:40:00,03:00:00,11h 20m,2.9,1117,7
463,Goa,Solapur,Zingbus Plus,AC Sleeper,16:10:00,02:30:00,10h 20m,2.9,811,20
464,Goa,Solapur,Sharma Travels,AC Sleeper,15:30:00,02:30:00,11h 00m,2.9,700,17
465,Goa,Solapur,PSR Travels Goa (Parrikar),AC Sleeper,18:30:00,05:30:00,11h 00m,2.9,949,16
466,Goa,Solapur,S R Travels,AC Seater/Sleeper,20:30:00,07:30:00,11h 00m,2.9,700,31
467,Goa,Solapur,AR Group Vijaylaxmi Travels,AC Sleeper,19:30:00,07:00:00,11h 30m,2.9,4999,36
468,Goa,Solapur,Sharma Travels,AC Sleeper,15:00:00,02:00:00,11h 00m,2.9,800,20
469,Goa,Solapur,PVS Tours and Travels,AC Sleeper,21:00:00,09:00:00,12h 00m,2.9,2950,36
470,Goa,Solapur,Atmaram Gobus,AC Sleeper,18:00:00,04:30:00,10h 30m,2.9,5000,24
471,Calangute Goa,Goa Airport,Kadamba Transport Corporation Limited (KTCL) - 78627,AC Seater,13:30:00,15:15:00,01h 45m,3.5,200,34
472,Calangute Goa,Goa Airport,Kadamba Transport Corporation Limited (KTCL) - 99718,AC Seater,15:30:00,17:15:00,01h 45m,3.5,200,38
473,Calangute Goa,Goa Airport,Kadamba Transport Corporation Limited (KTCL) - 99719,AC Seater,18:30:00,20:00:00,01h 30m,3.5,200,40
474,Goa,Sangola,Kadamba Transport Corporation Limited (KTCL) - 60996,Non AC Seater,19:00:00,06:05:00,11h 05m,3.3,675,19
475,Goa,Sangola,Humsafar Travels,AC Sleeper,19:00:00,02:00:00,07h 00m,3.3,1283,18
476,Goa,Sangola,PSR Travels Goa (Parrikar),AC Sleeper,18:30:00,04:15:00,09h 45m,3.3,949,16
477,Goa,Sangola,AR Group Vijaylaxmi Travels,AC Sleeper,19:30:00,05:15:00,09h 45m,3.3,4999,36
478,Goa,Sangola,Atmaram Gobus,AC Sleeper,18:00:00,03:30:00,09h 30m,3.3,5000,24
479,Goa Airport,Calangute Goa,Kadamba Transport Corporation Limited (KTCL) - 99707,AC Seater,13:45:00,15:30:00,01h 45m,4.2,200,40
480,Goa Airport,Calangute Goa,Kadamba Transport Corporation Limited (KTCL) - 99710,AC Seater,16:00:00,17:30:00,01h 30m,4.2,200,42
481,Sangola,Goa,Kadamba Transport Corporation Limited (KTCL) - 61005,Non AC Seater,21:45:00,10:00:00,12h 15m,3.3,675,34
482,Sangola,Goa,Sharma Travels,AC Sleeper,23:59:00,08:30:00,08h 31m,3.3,800,15
483,Sangola,Goa,Humsafar Travels,AC Sleeper,23:59:00,08:00:00,08h 01m,3.3,1473,10
484,Sangola,Goa,Khurana Travel Services,AC Sleeper,23:29:00,07:30:00,08h 01m,3.3,665,16
485,Sangola,Goa,Sharma Travels,AC Sleeper,23:59:00,09:00:00,09h 01m,3.3,900,12
486,Sangola,Goa,New Shivbaba Tours And Travels,AC Sleeper,20:30:00,06:00:00,09h 30m,3.3,1044,22
487,Sangola,Goa,AR Group Vijaylaxmi Travels,AC Sleeper,20:30:00,06:00:00,09h 30m,3.3,5000,36
488,Belagavi,Ponda,Kadamba Transport Corporation Limited (KTCL) - 6020,Non AC Seater,16:00:00,19:15:00,03h 15m,3.3,150,35
489,Shimoga,Goa,Kadamba Transport Corporation Limited (KTCL) - 132897,Non AC Seater,23:00:00,08:00:00,09h 00m,1.7,450,37
490,Shimoga,Goa,Sea Bird Tourist,Non AC Sleeper,23:45:00,08:00:00,08h 15m,1.7,1400,25
491,Mopa Airport,Calangute Goa,Kadamba Transport Corporation Limited (KTCL) - 159021,AC Seater,12:00:00,13:10:00,01h 10m,4.8,200,48
492,Mopa Airport,Calangute Goa,Kadamba Transport Corporation Limited (KTCL) - 160438,AC Seater,13:30:00,14:40:00,01h 10m,4.8,200,47
493,Mopa Airport,Calangute Goa,Kadamba Transport Corporation Limited (KTCL) - 160437,AC Seater,17:30:00,18:40:00,01h 10m,4.8,200,47
494,Panaji,Goa Airport,Kadamba Transport Corporation Limited (KTCL) - 78627,AC Seater,14:01:00,15:15:00,01h 14m,3.6,150,38
495,Panaji,Goa Airport,Kadamba Transport Corporation Limited (KTCL) - 99718,AC Seater,16:01:00,17:15:00,01h 14m,3.6,150,38
496,Panaji,Goa Airport,Kadamba Transport Corporation Limited (KTCL) - 99719,AC Seater,19:00:00,20:00:00,01h 00m,3.6,150,40
497,Goa,Mopa Airport,Kadamba Transport Corporation Limited (KTCL) - 159065,AC Seater,12:30:00,13:00:00,00h 30m,4,150,44
498,Goa,Mopa Airport,Kadamba Transport Corporation Limited (KTCL) - 158948,AC Seater,14:00:00,14:30:00,00h 30m,4,150,47
499,Goa,Mopa Airport,Kadamba Transport Corporation Limited (KTCL) - 158967,AC Seater,16:25:00,17:00:00,00h 35m,4,150,46
500,Goa,Shimoga,Kadamba Transport Corporation Limited (KTCL) - 8355,Non AC Seater,15:00:00,01:03:00,10h 03m,3.6,450,38
501,Goa,Shimoga,Sea Bird Tourist,Non AC Sleeper,17:30:00,02:30:00,09h 00m,3.6,1000,13
502,Goa,Miraj,Kadamba Transport Corporation Limited (KTCL) - 60996,Non AC Seater,19:00:00,04:30:00,09h 30m,3.1,505,19
503,Goa,Miraj,Vaibhav Travels,AC Sleeper,20:00:00,05:42:00,09h 42m,3.1,699,13
504,Goa,Miraj,Humsafar Travels,AC Sleeper,19:00:00,01:30:00,06h 30m,3.1,1283,19
505,Goa,Miraj,Sharma Travels,AC Sleeper,15:30:00,23:30:00,08h 00m,3.1,700,17
506,Goa,Miraj,PSR Travels Goa (Parrikar),AC Sleeper,18:30:00,02:35:00,08h 05m,3.1,949,16
507,Goa,Miraj,AR Group Vijaylaxmi Travels,AC Sleeper,19:30:00,02:45:00,07h 15m,3.1,4999,36
508,Goa,Miraj,URL Travels Neeta,AC Sleeper,12:10:00,18:30:00,06h 20m,3.1,3000,20
509,Goa,Miraj,Sharma Travels,AC Sleeper,15:00:00,23:00:00,08h 00m,3.1,800,20
510,Goa,Miraj,Atmaram Gobus,AC Sleeper,18:00:00,01:30:00,07h 30m,3.1,5000,24
511,Margoa,Mopa Airport,Kadamba Transport Corporation Limited (KTCL) - 158967,AC Seater,15:00:00,17:00:00,02h 00m,4.1,400,46
512,Mopa Airport,Margoa,Kadamba Transport Corporation Limited (KTCL) - 158996,AC Seater,12:30:00,14:30:00,02h 00m,3.6,400,47
513,Mopa Airport,Margoa,Kadamba Transport Corporation Limited (KTCL) - 159015,AC Seater,16:00:00,18:00:00,02h 00m,3.6,400,46
514,Mopa Airport,Goa,Kadamba Transport Corporation Limited (KTCL) - 158996,AC Seater,12:30:00,12:55:00,00h 25m,3.6,150,47
515,Mopa Airport,Goa,Kadamba Transport Corporation Limited (KTCL) - 160438,AC Seater,13:30:00,14:00:00,00h 30m,3.6,150,47
516,Mopa Airport,Goa,Kadamba Transport Corporation Limited (KTCL) - 159015,AC Seater,16:00:00,16:25:00,00h 25m,3.6,150,46
517,Mopa Airport,Goa,Kadamba Transport Corporation Limited (KTCL) - 160437,AC Seater,17:30:00,18:00:00,00h 30m,3.6,150,47
518,Panaji,Mopa Airport,Kadamba Transport Corporation Limited (KTCL) - 158948,AC Seater,13:30:00,14:30:00,01h 00m,3.6,200,47
519,Panaji,Mopa Airport,Kadamba Transport Corporation Limited (KTCL) - 158967,AC Seater,15:55:00,17:00:00,01h 05m,3.6,200,46
520,Shirdi,Goa,PSR Travels Goa (Parrikar),AC Sleeper,18:00:00,09:00:00,15h 00m,3.8,1599,6
521,Shirdi,Goa,Humsafar Travels,AC Sleeper,14:30:00,09:30:00,19h 00m,3.8,1406,8
522,Shirdi,Goa,Humsafar Travels,AC Sleeper,15:00:00,08:00:00,17h 00m,3.8,1473,9
523,Shirdi,Goa,Hans Travels (I) Private Limited,AC Sleeper,20:19:00,10:39:00,14h 20m,3.8,1700,4
524,Goa Airport,Panaji,Kadamba Transport Corporation Limited (KTCL) - 99707,AC Seater,13:45:00,14:46:00,01h 01m,4.3,150,41
525,Goa Airport,Panaji,Kadamba Transport Corporation Limited (KTCL) - 99710,AC Seater,16:00:00,17:00:00,01h 00m,4.3,150,42
526,Belagavi,Saquelim,Kadamba Transport Corporation Limited (KTCL) - 6020,Non AC Seater,16:00:00,18:15:00,02h 15m,3.6,140,35
527,Goa,Satara,Kadamba Transport Corporation Limited (KTCL) - 6032,Non AC Seater,18:00:00,03:00:00,09h 00m,3.8,550,27
528,Goa,Satara,Ashray Travels,AC Sleeper,22:30:00,08:00:00,09h 30m,3.8,1000,13
529,Goa,Satara,IntrCity SmartBus,AC Seater/Sleeper,20:30:00,04:40:00,08h 10m,3.8,772,9
530,Goa,Satara,Atmaram Gobus,AC Sleeper,22:30:00,07:00:00,08h 30m,3.8,900,9
531,Goa,Satara,IntrCity SmartBus,AC Sleeper,21:30:00,05:40:00,08h 10m,3.8,900,9
532,Goa,Satara,IntrCity SmartBus,AC Sleeper,20:00:00,04:10:00,08h 10m,3.8,900,14
533,Goa,Satara,Ashray Grand,AC Sleeper,22:00:00,07:30:00,09h 30m,3.8,1000,26
534,Goa,Satara,Atmaram Travels(KVT Narmada Red),AC Sleeper,21:16:00,06:01:00,08h 45m,3.8,900,23
535,Goa,Satara,Atmaram Gobus,Non AC Sleeper,20:01:00,05:16:00,09h 15m,3.8,700,15
536,Goa,Satara,Zingbus Plus,AC Sleeper,20:50:00,05:05:00,08h 15m,3.8,900,14
537,Goa,Satara,IntrCity SmartBus,AC Sleeper,18:30:00,02:35:00,08h 05m,3.8,950,12
538,Goa,Satara,Sangitam Travels Tanzanite,AC Sleeper,21:00:00,04:30:00,07h 30m,3.8,905,17
539,Goa,Satara,Laxmi Queen Prime,AC Sleeper,19:30:00,05:00:00,09h 30m,3.8,900,23
540,Goa,Satara,Atmaram Travels (Unity),AC Sleeper,20:00:00,04:45:00,08h 45m,3.8,1000,27
541,Goa,Satara,Atmaram Gobus,Non AC Sleeper,19:01:00,04:41:00,09h 40m,3.8,700,17
542,Goa,Satara,Amrutyog Travels,AC Sleeper,20:00:00,06:00:00,10h 00m,3.8,900,27
543,Goa,Satara,IntrCity SmartBus,AC Sleeper,19:00:00,03:25:00,08h 25m,3.8,855,13
544,Goa,Satara,Laxmi-Princess Nova,Non AC Seater/Sleeper,19:00:00,04:00:00,09h 00m,3.8,599,14
545,Goa,Satara,Prasanna - Purple Bus,AC Sleeper,22:15:00,05:45:00,07h 30m,3.8,999,22
546,Goa,Satara,Atmaram Travels(M.Dev),AC Sleeper,22:00:00,06:50:00,08h 50m,3.8,1000,18
547,Goa,Satara,Ashray Travels,Non AC Seater/Sleeper,20:00:00,03:00:00,07h 00m,3.8,500,22
548,Goa,Satara,Indumati Travels,AC Sleeper,21:00:00,05:00:00,08h 00m,3.8,760,26
549,Goa,Satara,Zingbus Plus,AC Sleeper,19:40:00,03:40:00,08h 00m,3.8,900,20
550,Goa,Satara,Atmaram Travels (Shreyas),AC Sleeper,20:03:00,05:03:00,09h 00m,3.8,900,21
551,Goa,Satara,Laxmi Empress Stellar,Non AC Sleeper,19:45:00,04:15:00,08h 30m,3.8,799,21
552,Goa,Satara,Atmaram Travels (Vaibhav),AC Sleeper,22:31:00,07:16:00,08h 45m,3.8,1050,24
553,Goa,Satara,Atmaram Travels (Dolphin),AC Sleeper,15:00:00,01:00:00,10h 00m,3.8,1000,29
554,Goa,Satara,Prasanna - Purple Bus,AC Sleeper,22:00:00,05:30:00,07h 30m,3.8,999,23
555,Goa,Satara,Zingbus Plus,AC Sleeper,18:10:00,02:10:00,08h 00m,3.8,928,23
556,Goa,Satara,Laxmi holidays,AC Seater/Sleeper,19:30:00,04:30:00,09h 00m,3.8,750,36
557,Goa,Satara,IntrCity SmartBus,AC Sleeper,19:30:00,03:10:00,07h 40m,3.8,950,10
558,Goa,Satara,IntrCity SmartBus,AC Sleeper,20:50:00,05:10:00,08h 20m,3.8,855,8
559,Goa,Satara,Laxmi holidays,AC Seater/Sleeper,18:30:00,03:45:00,09h 15m,3.8,629,37
560,Goa,Satara,Anand Ashray Travels,AC Sleeper,21:00:00,05:30:00,08h 30m,3.8,1001,31
561,Goa,Satara,Anand Ashray Travels,AC Sleeper,20:00:00,05:00:00,09h 00m,3.8,1001,19
562,Goa,Satara,Prasanna - Purple Bus,AC Sleeper,21:00:00,04:30:00,07h 30m,3.8,905,25
563,Goa,Satara,Atmaram Travels (Dolphin),AC Sleeper,16:30:00,02:00:00,09h 30m,3.8,1050,16
564,Goa,Satara,Atmaram Travels (Dolphin),AC Sleeper,18:30:00,04:00:00,09h 30m,3.8,1000,28
565,Goa,Satara,Atmaram Travels (Dolphin),AC Sleeper,14:00:00,23:30:00,09h 30m,3.8,1000,14
566,Goa,Satara,Atmaram Gobus,AC Sleeper,21:32:00,05:32:00,08h 00m,3.8,900,5
567,Goa,Satara,Atmaram Travels ( Ashray ),AC Sleeper,22:02:00,07:32:00,09h 30m,3.8,900,19
568,Goa,Satara,IntrCity SmartBus,AC Sleeper,20:45:00,05:05:00,08h 20m,3.8,855,8
569,Goa,Satara,M R Travels,AC Seater/Sleeper,19:50:00,04:00:00,08h 10m,3.8,1800,35
570,Goa,Satara,M R Travels,AC Seater/Sleeper,18:30:00,04:00:00,09h 30m,3.8,1800,35
571,Goa,Satara,Atmaram Travels Goa,AC Sleeper,20:30:00,05:15:00,08h 45m,3.8,900,26
572,Goa,Satara,Atmaram Travels ( Gogte ),AC Sleeper,19:02:00,04:32:00,09h 30m,3.8,900,19
573,Goa,Satara,Atmaram Travels (Vishal),AC Sleeper,17:30:00,03:00:00,09h 30m,3.8,1150,28
574,Goa,Satara,Atmaram Travels (Dolphin),AC Sleeper,19:30:00,05:10:00,09h 40m,3.8,1000,27
575,Goa,Satara,"National Travels,Goa",Non AC Sleeper,19:00:00,03:30:00,08h 30m,3.8,700,14
576,Goa,Satara,Laxmi Queen Asta,AC Sleeper,20:30:00,05:30:00,09h 00m,3.8,900,23
577,Goa,Satara,PSR Travels (Vaibhav),AC Sleeper,22:30:00,05:30:00,07h 00m,3.8,1050,26
578,Goa,Satara,PSR Travels Goa (Parrikar),AC Sleeper,19:15:00,03:10:00,07h 55m,3.8,1199,20
579,Goa,Satara,VRL Travels,AC Sleeper,19:30:00,05:00:00,09h 30m,3.8,1000,19
580,Goa,Satara,Atmaram Travels ( Gogte ),Non AC Sleeper,21:01:00,05:31:00,08h 30m,3.8,700,23
581,Goa,Satara,Giroba Travels (Kelkar),Non AC Seater,18:00:00,04:00:00,10h 00m,3.8,500,36
582,Goa,Satara,Giroba Travels (Kelkar),Non AC Seater/Sleeper,17:45:00,04:30:00,10h 45m,3.8,500,21
583,Goa,Satara,Giroba Travels (Shree),AC Sleeper,19:00:00,04:30:00,09h 30m,3.8,900,22
584,Goa,Satara,Hans Travels (I) Private Limited,AC Sleeper,12:30:00,21:45:00,09h 15m,3.8,600,11
585,Goa,Satara,IntrCity SmartBus,AC Sleeper,19:05:00,03:30:00,08h 25m,3.8,855,11
586,Goa,Satara,IntrCity SmartBus,AC Sleeper,20:00:00,04:10:00,08h 10m,3.8,2755,34
587,Goa,Satara,Manish Sharma Travels,AC Sleeper,20:00:00,04:00:00,08h 00m,3.8,900,26
588,Goa,Satara,Manish Patil Travels,AC Sleeper,15:30:00,03:30:00,12h 00m,3.8,900,29
589,Goa,Satara,Anand Ashray Travels,AC Sleeper,22:45:00,07:15:00,08h 30m,3.8,1001,31
590,Goa,Satara,Amrutyog Travels,Non AC Sleeper,20:30:00,03:00:00,06h 30m,3.8,5000,36
591,Goa,Satara,Amrutyog Travels,Non AC Sleeper,19:00:00,03:00:00,08h 00m,3.8,5000,36
592,Goa,Satara,Anand Tours And Travels,AC Sleeper,21:01:00,06:31:00,09h 30m,3.8,2500,41
593,Goa,Satara,Prasanna - Purple Bus,AC Sleeper,21:01:00,04:01:00,07h 00m,3.8,2520,36
594,Goa,Satara,Atmaram Travels(GTA),AC Sleeper,19:00:00,04:15:00,09h 15m,3.8,1000,32
595,Goa,Satara,Atmaram Travels ( Gogte ),Non AC Sleeper,22:01:00,07:31:00,33h 30m,3.8,700,26
596,Goa,Satara,Atmaram Travels (Dolphin),AC Sleeper,16:30:00,02:00:00,09h 30m,3.8,4000,28
597,Goa,Satara,Atmaram Travels (Dolphin),AC Sleeper,15:30:00,01:00:00,09h 30m,3.8,1000,28
598,Goa,Satara,Atmaram Travels (Humsafar),AC Sleeper,19:30:00,03:45:00,08h 15m,3.8,900,12
599,Goa,Satara,Jay khodiyar travels,AC Sleeper,15:00:00,23:59:00,08h 59m,3.8,3700,42
600,Goa,Satara,Jolly Tours and Travels,AC Sleeper,18:30:00,02:30:00,08h 00m,3.8,1199,30
601,Goa,Satara,Jolly Tours and Travels,AC Seater,18:30:00,02:30:00,08h 00m,3.8,1799,9
602,Goa,Satara,Giroba Travels (Anand),Non AC Seater/Sleeper,19:00:00,05:15:00,10h 15m,3.8,500,30
603,Goa,Satara,Giroba Travels (Rajmudra),AC Sleeper,20:45:00,05:30:00,08h 45m,3.8,899,23
604,Goa,Satara,Gujarat Travels,AC Sleeper,12:25:00,21:20:00,08h 55m,3.8,1100,34
605,Goa,Satara,Ashray Travels,Non AC Sleeper,19:00:00,04:30:00,57h 30m,3.8,2000,30
606,Goa,Satara,Naik Tours And Travels,Non AC Sleeper,17:00:00,04:05:00,11h 05m,3.8,800,18
607,Goa,Satara,Manish Roshan Travels,AC Sleeper,19:00:00,05:30:00,10h 30m,3.8,900,29
608,Goa,Satara,AAINATH TRAVELS,AC Seater/Sleeper,21:30:00,04:30:00,07h 00m,3.8,699,28
609,Mopa Airport,Panaji,Kadamba Transport Corporation Limited (KTCL) - 158996,AC Seater,12:30:00,13:25:00,00h 55m,3.6,200,47
610,Mopa Airport,Panaji,Kadamba Transport Corporation Limited (KTCL) - 159015,AC Seater,16:00:00,16:55:00,00h 55m,3.6,200,47
611,Goa,Shirdi,PSR Travels Goa (Parrikar),AC Sleeper,19:15:00,10:00:00,14h 45m,3.7,1599,8
612,Goa,Shirdi,Humsafar Travels,AC Sleeper,19:00:00,11:00:00,16h 00m,3.7,1283,15
613,Goa,Shirdi,Hans Travels (I) Private Limited,AC Sleeper,12:30:00,04:15:00,15h 45m,3.7,1400,6
614,Goa,Shirdi,Sea Bird Tourist,AC Sleeper,19:00:00,20:30:00,49h 30m,3.7,11000,15
615,Calangute Goa,Panaji,Kadamba Transport Corporation Limited (KTCL) - 78627,AC Seater,13:30:00,14:01:00,00h 31m,3.6,100,40
616,Calangute Goa,Panaji,Kadamba Transport Corporation Limited (KTCL) - 99718,AC Seater,15:30:00,16:01:00,00h 31m,3.6,100,41
617,Panaji,Calangute Goa,Kadamba Transport Corporation Limited (KTCL) - 99707,AC Seater,14:46:00,15:30:00,00h 44m,3.6,100,41
